"시점",인구 (명),남자 (명),여자 (명),성비
"1955",288801,149993,138808,108.06
"1960",281663,131371,150292,87.41
"1966",337052,160507,176545,90.92
"1970",365137,175093,190044,92.13
"1975",411486,199311,212175,93.94
"1980",462609,226319,236290,95.78
"1985",488300,239387,248913,96.17
"1990",514436,254232,260204,97.70
"1995",505095,248954,256141,97.19
"2000",512541,254056,258485,98.29
"2005",530686,263721,266965,98.78
"2010",528411,261521,266890,98.00
